bit_index,sample_a,sample_b
0,0,5
1,0,15
2,0,20
3,0,29
4,0,31
5,0,33
6,0,34
7,0,35
8,0,36
9,0,37
10,0,39
11,0,41
12,1,4
13,1,5
14,1,6
15,1,9
16,1,13
17,1,14
18,1,21
19,1,22
20,1,31
21,1,34
22,1,35
23,1,36
24,1,39
25,2,3
26,2,7
27,2,8
28,2,21
29,2,30
30,2,40
31,3,7
32,3,8
33,3,30
34,3,40
35,4,6
36,4,9
37,4,13
38,4,14
39,4,20
40,4,21
41,4,22
42,4,31
43,4,34
44,4,35
45,4,36
46,4,39
47,5,9
48,5,13
49,5,22
50,5,29
51,5,31
52,5,34
53,5,35
54,5,36
55,5,39
56,5,41
57,6,9
58,6,13
59,6,14
60,6,15
61,6,21
62,6,22
63,6,31
64,6,34
65,6,35
66,6,36
67,6,39
68,7,8
69,7,14
70,7,30
71,7,40
72,8,14
73,8,30
74,8,40
75,9,13
76,9,14
77,9,15
78,9,21
79,9,22
80,9,31
81,9,34
82,9,35
83,9,36
84,9,39
85,10,27
86,11,24
87,11,27
88,11,28
89,11,42
90,11,43
91,12,16
92,12,19
93,12,20
94,12,23
95,12,25
96,12,26
97,12,27
98,12,31
99,12,32
100,12,33
101,12,37
102,12,38
103,12,39
104,12,44
105,13,21
106,13,22
107,13,34
108,13,35
109,13,36
110,13,39
111,14,21
112,14,22
113,14,34
114,14,35
115,14,36
116,14,40
117,15,20
118,15,23
119,15,25
120,15,26
121,15,29
122,15,31
123,15,33
124,15,34
125,15,36
126,15,37
127,15,39
128,15,44
129,16,17
130,16,18
131,16,19
132,16,23
133,16,25
134,16,26
135,16,38
136,16,39
137,16,44
138,17,18
139,17,19
140,17,26
141,17,27
142,17,28
143,17,32
144,17,38
145,17,42
146,17,43
147,17,44
148,18,19
149,18,26
150,18,27
151,18,28
152,18,32
153,18,38
154,18,42
155,18,43
156,18,44
157,19,23
158,19,25
159,19,26
160,19,31
161,19,32
162,19,44
163,20,25
164,20,31
165,20,33
166,20,34
167,20,37
168,20,39
169,20,41
170,20,44
171,21,30
172,21,31
173,21,34
174,21,35
175,21,36
176,22,31
177,22,34
178,22,35
179,22,36
180,22,39
181,23,25
182,23,26
183,23,31
184,23,32
185,23,33
186,23,37
187,23,38
188,23,39
189,23,44
190,24,27
191,24,28
192,24,38
193,24,42
194,24,43
195,25,26
196,25,31
197,25,33
198,25,37
199,25,38
200,25,39
201,25,44
202,26,31
203,26,32
204,26,33
205,26,37
206,26,38
207,26,39
208,26,43
209,26,44
210,27,28
211,27,32
212,27,38
213,27,42
214,27,43
215,28,32
216,28,38
217,28,42
218,28,43
219,29,31
220,29,33
221,29,34
222,29,35
223,29,36
224,29,39
225,29,41
226,30,40
227,31,33
228,31,34
229,31,35
230,31,36
231,31,37
232,31,39
233,31,41
234,32,38
235,32,42
236,32,43
237,32,44
238,33,37
239,33,39
240,33,44
241,34,36
242,34,39
243,34,41
244,35,39
245,35,41
246,36,39
247,36,41
248,37,39
249,37,44
250,38,42
251,38,43
252,38,44
253,39,41
254,39,44
255,42,43
